Date,Open,High,Low,Close,Volume
8/19/2004,0.48197,0.48721,0.46415,0.46969,454225841
8/20/2004,0.47037,0.47371,0.4661,0.47099,369946398
8/23/2004,0.47099,0.478,0.46796,0.47522,297399285
8/24/2004,0.478,0.48833,0.47706,0.48833,436929671
8/25/2004,0.48803,0.5067,0.48536,0.5051,590489310
8/26/2004,0.507,0.538,0.5005,0.5299,1116294082
8/27/2004,0.529,0.5315,0.5198,0.5253,454075336
8/30/2004,0.52,0.5308,0.5191,0.5215,254768606
8/31/2004,0.5209,0.5346,0.5198,0.5275,442065445
9/1/2004,0.5244,0.5505,0.5225,0.5483,602456324
9/2/2004,0.5429,0.5477,0.5324,0.5454,474523240
9/3/2004,0.5358,0.5492,0.5352,0.5386,342759408
9/7/2004,0.5414,0.5533,0.5386,0.5468,352638847
9/8/2004,0.546,0.5593,0.5456,0.556,401782051
9/9/2004,0.5521,0.5551,0.5395,0.546,538838353
9/10/2004,0.5456,0.5539,0.5423,0.5483,383065942
9/13/2004,0.5483,0.5518,0.5401,0.5445,329313233
9/14/2004,0.5398,0.5435,0.5318,0.5429,297589259
9/15/2004,0.5429,0.5429,0.5321,0.5382,272395255
9/16/2004,0.5382,0.5621,0.5364,0.556,586157559
9/17/2004,0.5588,0.5715,0.5566,0.5678,588805074
9/20/2004,0.5643,0.5808,0.5637,0.5767,286117129
9/21/2004,0.5765,0.5941,0.5727,0.5811,451556697
9/22/2004,0.5825,0.5832,0.5631,0.5647,469109897
9/23/2004,0.5663,0.5733,0.5647,0.57,464201205
9/24/2004,0.5718,0.5811,0.5678,0.57,431504983
9/27/2004,0.5652,0.5808,0.5631,0.574,464449843
9/28/2004,0.5733,0.5853,0.5727,0.5817,412466822
9/29/2004,0.5798,0.5941,0.5783,0.5914,319416751
9/30/2004,0.5963,0.6007,0.5881,0.5927,496355963
10/1/2004,0.5981,0.5991,0.5898,0.5914,543584889
10/4/2004,0.5991,0.5991,0.5927,0.593,670989578
10/5/2004,0.5895,0.6067,0.5871,0.6019,474358770
10/6/2004,0.6041,0.6233,0.6034,0.6214,521213883
10/7/2004,0.6199,0.6257,0.6034,0.6058,497796078
10/8/2004,0.6045,0.6083,0.5939,0.5973,419519288
10/11/2004,0.5933,0.5973,0.5841,0.5901,378266834
10/12/2004,0.5887,0.5898,0.5756,0.5853,537974262
10/13/2004,0.5935,0.608,0.5923,0.608,1376550502
10/14/2004,0.6582,0.6997,0.6504,0.6878,3233454815
