Date,Open,High,Low,Close,Volume
8/19/2004,19.414,19.495,19.174,19.256,65188165
8/20/2004,19.256,19.44,19.199,19.314,65472609
8/23/2004,19.375,19.406,19.256,19.345,55724370
8/24/2004,19.454,19.504,19.24,19.345,57503022
8/25/2004,19.321,19.65,19.306,19.569,75355443
8/26/2004,19.504,19.593,19.454,19.488,49961053
8/27/2004,19.519,19.632,19.495,19.504,46819678
8/30/2004,19.504,19.504,19.068,19.384,51650987
8/31/2004,19.384,19.399,19.208,19.384,73450916
9/1/2004,19.345,19.545,19.272,19.454,68306520
9/2/2004,19.445,19.657,19.423,19.609,59383848
9/3/2004,19.495,19.609,19.24,19.247,65021689
9/7/2004,19.384,19.445,19.29,19.431,63221600
9/8/2004,19.391,19.512,19.272,19.361,75247990
9/9/2004,19.384,19.512,19.306,19.375,80131295
9/10/2004,19.406,19.537,19.306,19.519,74264666
9/13/2004,19.56,19.581,18.988,19.352,68672065
9/14/2004,19.431,19.537,19.368,19.488,78765011
9/15/2004,19.44,19.454,19.272,19.314,74191610
9/16/2004,19.327,19.423,19.299,19.361,50625697
9/17/2004,19.454,19.551,19.361,19.537,92463620
9/20/2004,19.479,19.632,19.406,19.537,72553702
9/21/2004,19.504,19.551,19.352,19.361,104047855
9/22/2004,19.375,19.701,19.223,19.256,96331632
9/23/2004,19.314,19.454,19.299,19.423,73446957
9/24/2004,19.454,19.504,19.314,19.384,70242204
9/27/2004,19.306,19.399,19.264,19.314,67509217
9/28/2004,19.321,19.431,19.199,19.368,87386177
9/29/2004,19.368,19.657,19.336,19.588,86655144
9/30/2004,19.588,19.733,19.545,19.632,100330194
10/1/2004,19.748,20.108,19.733,20.065,93367185
10/4/2004,20.185,20.215,19.939,19.971,87388664
10/5/2004,19.993,20.208,19.954,20.15,81698459
10/6/2004,20.159,20.28,20.049,20.261,80269747
10/7/2004,20.245,20.303,20,20,54088304
10/8/2004,19.962,20.116,19.865,19.874,69789652
10/11/2004,20.025,20.039,19.837,19.931,62936120
10/12/2004,19.764,20,19.748,19.907,79449356
10/13/2004,20.017,20.072,19.844,19.907,69707919
10/14/2004,19.931,20,19.74,19.74,58486284
10/15/2004,19.857,20.057,19.756,19.874,70174379
10/18/2004,19.931,20.208,19.865,20.176,71105998
10/19/2004,20.27,20.303,20,20.008,80312902
10/20/2004,20.039,20.421,19.971,20.38,97332021
10/21/2004,20.467,20.515,20.215,20.28,133998196
10/22/2004,20.094,20.123,19.588,19.701,143731455
10/25/2004,19.657,19.724,19.569,19.619,86697068
10/26/2004,19.667,19.811,19.619,19.811,108457571
10/27/2004,19.794,20.132,19.588,19.993,101994381
10/28/2004,19.962,20.27,19.811,19.891,88833790
10/29/2004,19.962,19.993,19.471,19.865,112813905
11/1/2004,19.993,20.079,19.857,19.939,102712647
11/2/2004,19.939,20.215,19.907,20.057,125931553
11/3/2004,20.349,20.349,20.1,20.215,112253385
11/4/2004,20.159,20.595,20.15,20.595,123739046
11/5/2004,20.703,20.851,20.619,20.818,134285059
11/8/2004,20.718,20.936,20.687,20.793,159645738
11/9/2004,20.902,21.226,20.842,21.14,141443333
11/10/2004,21.243,21.311,21.084,21.106,118454621
11/11/2004,21.226,21.354,21.18,21.293,123031921
11/12/2004,21.417,21.448,21.164,21.285,228541942
11/15/2004,21.647,21.765,21.529,21.68,132303388
11/16/2004,21.623,21.638,21.409,21.465,81536496
11/17/2004,21.567,21.656,21.417,21.505,74650188
11/18/2004,21.473,21.505,21.369,21.425,82464291
11/19/2004,21.401,21.425,21.243,21.258,108479538
11/22/2004,21.18,21.226,19.676,21.09,116866975
11/23/2004,20.991,21.131,20.893,20.999,88795054
11/24/2004,21.069,21.155,20.893,21.084,75894474
11/26/2004,21.03,21.226,21.016,21.051,30837906
11/29/2004,21.084,21.333,21.06,21.188,84753697
11/30/2004,21.171,21.377,21.131,21.219,96098504
12/1/2004,21.333,21.593,21.219,21.567,127480913
12/2/2004,21.585,21.688,21.311,21.44,121451461
12/3/2004,21.496,21.72,21.479,21.551,97052578
12/6/2004,21.448,21.72,21.425,21.631,69888769
12/7/2004,21.576,21.673,21.369,21.425,166053151
12/8/2004,21.377,21.656,21.302,21.656,120855314
12/9/2004,21.465,21.656,21.325,21.551,104873890
12/10/2004,21.551,21.551,21.401,21.434,89641202
12/13/2004,21.448,21.593,21.302,21.567,118560775
12/14/2004,21.409,21.631,21.401,21.551,161534750
12/15/2004,21.543,21.688,21.425,21.458,134366553
12/16/2004,21.479,21.593,21.377,21.496,112820480
12/17/2004,21.311,21.623,21.213,21.34,161459158
12/20/2004,21.348,21.488,21.285,21.333,108091751
12/21/2004,21.361,21.505,21.325,21.425,119627120
12/22/2004,21.233,21.488,21.197,21.348,80596061
12/23/2004,21.258,21.488,21.233,21.377,83138165
12/27/2004,21.386,21.448,21.226,21.25,70712536
12/28/2004,21.213,21.393,21.213,21.333,69589130
12/29/2004,21.243,21.369,21.226,21.293,60185508
12/30/2004,21.285,21.325,21.171,21.18,61094627
12/31/2004,21.171,21.293,21.114,21.149,69444941
1/3/2005,21.213,21.333,21.09,21.164,82665815
1/4/2005,21.164,21.448,21.097,21.243,138419636
1/5/2005,21.226,21.448,21.18,21.197,91579282
1/6/2005,21.233,21.417,21.084,21.171,97147281
1/7/2005,21.243,21.285,21.069,21.106,87022273
1/10/2005,21.016,21.258,21.006,21.213,89748382
1/11/2005,21.084,21.226,21.06,21.155,83023175
1/12/2005,21.164,21.25,21.069,21.197,92200287
1/13/2005,21.131,21.213,20.703,20.793,113608182
1/14/2005,20.881,20.936,20.61,20.671,116533698
1/18/2005,20.588,20.859,20.453,20.835,87561875
1/19/2005,20.736,20.784,20.515,20.562,73425983
1/20/2005,20.445,20.656,20.371,20.467,73770628
1/21/2005,20.524,20.68,20.295,20.303,96713258
1/24/2005,20.371,20.58,20.295,20.318,87194859
1/25/2005,20.38,20.727,20.38,20.595,85394262
1/26/2005,20.632,20.711,20.498,20.588,82102141
1/27/2005,20.534,20.703,20.459,20.663,118442013
1/28/2005,20.984,21.09,20.55,20.718,139605692
1/31/2005,20.881,20.991,20.703,20.801,90598755
2/1/2005,20.784,20.918,20.752,20.887,73314627
2/2/2005,20.887,20.976,20.801,20.945,100635069
2/3/2005,20.851,20.893,20.656,20.718,79158434
2/4/2005,20.711,20.873,20.687,20.835,77383524
2/7/2005,20.776,20.818,20.625,20.703,73035005
2/8/2005,20.736,20.851,20.703,20.769,77600301
2/9/2005,20.769,20.827,20.61,20.632,100552125
2/10/2005,20.632,20.68,20.58,20.625,90827954
2/11/2005,20.595,20.671,20.429,20.556,105979165
2/14/2005,20.515,20.671,20.506,20.588,74458692
