Date,Open,High,Low,Close,Volume
8/19/2004,1356.89,1361.23,1344.98,1353.24,244263793
8/20/2004,1352.28,1373.01,1348.27,1366.73,231491379
8/23/2004,1370.51,1377.67,1364.46,1370.9,211148276
8/24/2004,1376.99,1379.05,1360.82,1369.78,224325862
8/25/2004,1369.2,1391.22,1363.56,1389.17,227696552
8/26/2004,1383.8,1388.84,1379.69,1383.98,204108621
8/27/2004,1384.61,1393.23,1384.61,1388.56,174322414
8/30/2004,1383.12,1384.14,1367.73,1367.94,173731034
8/31/2004,1368.91,1372.27,1354.1,1368.68,223950000
9/1/2004,1363.27,1384.85,1360.58,1377.96,245922414
9/2/2004,1374.69,1402.07,1373.67,1398.34,208408621
9/3/2004,1384.41,1393.5,1370.01,1371.82,214587931
9/7/2004,1382.48,1390.6,1372.53,1381.84,227706897
9/8/2004,1378.4,1393.69,1374.79,1376.77,248713793
9/9/2004,1385.22,1396.55,1373.37,1391.53,286860345
9/10/2004,1391.2,1414.55,1386.41,1413,277008621
9/13/2004,1417.84,1435.95,1414.22,1427.34,300186207
9/14/2004,1425.29,1435.91,1422.83,1434.37,260217241
9/15/2004,1425.51,1425.51,1412.54,1415.3,271637931
9/16/2004,1417.37,1429.93,1413.22,1417.97,228534483
9/17/2004,1417.73,1427.59,1413.78,1426.3,282822414
9/20/2004,1417.39,1437.3,1415.31,1424.72,269920690
9/21/2004,1429.85,1440.81,1425.16,1435.91,264062069
9/22/2004,1424.72,1424.72,1403.16,1404.22,273843103
9/23/2004,1405.76,1413.68,1402.79,1405.77,240829310
9/24/2004,1407.71,1414.56,1397.5,1399.05,234498276
9/27/2004,1389.94,1396.42,1383.24,1385.55,227032759
9/28/2004,1390.11,1394.43,1376.99,1389.7,264996552
9/29/2004,1389.69,1411.82,1389.62,1410.86,282289655
9/30/2004,1409.23,1417.99,1403.89,1412.74,285624138
10/1/2004,1426.38,1452.94,1423.43,1452.94,313844828
10/4/2004,1463.22,1472.21,1458.08,1459.01,319822414
10/5/2004,1456.19,1467.23,1454.23,1461.76,294758621
10/6/2004,1460.19,1474.36,1452.61,1474.36,331529310
10/7/2004,1469.7,1474.7,1454.89,1455.77,299132759
10/8/2004,1449.49,1457.04,1428.11,1430.96,287748276
10/11/2004,1435.54,1441.1,1431.77,1437.73,202382759
10/12/2004,1424.22,1439.07,1416.29,1435,260067241
10/13/2004,1451.73,1453.72,1425.41,1434.46,306227586
10/14/2004,1434.92,1437.66,1421.59,1425.21,274187931
10/15/2004,1430.31,1441.82,1419.36,1430.98,284186207
10/18/2004,1428.08,1457.31,1424.82,1457.31,259482759
10/19/2004,1463.01,1470.14,1443.4,1443.8,295401724
10/20/2004,1441.21,1456.19,1433.88,1452.26,284563793
10/21/2004,1459.68,1478.46,1452.57,1474.79,345862069
10/22/2004,1472.92,1473.69,1438.13,1438.25,299648276
10/25/2004,1435.68,1439.48,1427.44,1432.57,276522414
10/26/2004,1432.25,1442.14,1423.98,1442.14,312508621
10/27/2004,1441.79,1483.13,1437.44,1480.03,357917241
10/28/2004,1473.41,1491.86,1471.03,1487.12,314106897
10/29/2004,1485.68,1496.98,1475.56,1486.72,282750000
11/1/2004,1486.25,1494.88,1479.86,1488.79,262555172
11/2/2004,1490.32,1509.56,1489.33,1494.83,318117241
11/3/2004,1519.97,1523.51,1494.85,1503.89,337482759
11/4/2004,1498.06,1519.21,1492.23,1516.2,314394828
11/5/2004,1526.71,1534.84,1512.74,1525.24,329132759
11/8/2004,1525.13,1532.46,1522.12,1527.13,277460345
11/9/2004,1527.25,1534.37,1521.15,1527,291758621
11/10/2004,1524.1,1530.01,1514.32,1517.06,319562069
11/11/2004,1524.62,1542.39,1522.48,1541.7,304268966
11/12/2004,1543.31,1558.41,1535.82,1558.41,345570690
11/15/2004,1554.31,1562.04,1550.03,1560.96,325562069
11/16/2004,1554.79,1554.79,1541.84,1548.53,327772414
11/17/2004,1561.8,1580.26,1561.8,1571.12,383339655
11/18/2004,1568.02,1581.79,1563.79,1580.81,330246552
11/19/2004,1578.86,1580.93,1551.77,1552.11,350639655
11/22/2004,1551.16,1568.86,1543.97,1568.28,327234483
11/23/2004,1566.71,1573.52,1552.85,1562.6,354762069
11/24/2004,1572.67,1583.07,1570.87,1582.55,282443103
11/26/2004,1581.65,1587.08,1578.26,1578.26,115131034
11/29/2004,1586.46,1593.16,1567.27,1580.44,317987931
11/30/2004,1579.51,1583.15,1571.11,1571.5,323924138
12/1/2004,1578.25,1607.16,1578.25,1607.15,393386207
12/2/2004,1602.11,1623.6,1599.63,1613.15,414070690
12/3/2004,1621.1,1631.9,1612.72,1614.4,415677586
12/6/2004,1612.33,1625.61,1605.71,1619.59,370732759
12/7/2004,1622.84,1628.25,1589.05,1589.33,460606897
12/8/2004,1593.87,1607.49,1588.73,1601.91,412217241
12/9/2004,1585.99,1615.6,1577.77,1609.79,393818966
12/10/2004,1601.46,1611.23,1600.72,1605.16,309455172
12/13/2004,1617.53,1621.37,1608.4,1621.16,357065517
12/14/2004,1618.2,1632.17,1618.2,1627.46,384253448
12/15/2004,1626.99,1635.7,1615.45,1623.63,403032759
12/16/2004,1621.43,1625.83,1601.62,1607.62,413141379
12/17/2004,1608.64,1614.89,1596.48,1596.61,417772414
12/20/2004,1603.84,1613.78,1587.21,1591.97,343355172
12/21/2004,1598.6,1611.34,1594.89,1609.26,340148276
12/22/2004,1605.72,1619.56,1602.99,1613.57,310820690
12/23/2004,1608.87,1619.18,1608.64,1613.77,246684483
12/27/2004,1621.33,1623.8,1600.25,1607.59,254948276
12/28/2004,1610.9,1624.19,1608.51,1624.19,273715517
12/29/2004,1619.36,1629.9,1619.36,1624.95,259289655
12/30/2004,1626.21,1628.74,1621.58,1623.76,241920690
12/31/2004,1624.37,1628.91,1620.31,1621.12,235596552
1/3/2005,1628.75,1635.45,1598.79,1603.51,378125862
1/4/2005,1611.22,1612.78,1565.02,1571.83,463872414
1/5/2005,1568.68,1580.88,1562.64,1563.76,409548276
1/6/2005,1567.66,1570.75,1556.84,1557.52,374865517
1/7/2005,1565.63,1577.76,1551.29,1564.81,377915517
1/10/2005,1561.23,1577.71,1558.54,1564.92,361770690
1/11/2005,1556.66,1562.24,1545.28,1553.4,381075862
1/12/2005,1561.84,1566.69,1543.04,1565.78,389253448
1/13/2005,1567.55,1568.54,1543.48,1545.18,364070690
1/14/2005,1552.11,1563.79,1550.05,1561.11,359458621
1/18/2005,1554.19,1574.39,1551.88,1573.49,342041379
1/19/2005,1572.81,1573.02,1545.63,1545.65,382362069
1/20/2005,1526.8,1534.53,1514.56,1514.56,384717241
1/21/2005,1519.3,1524.03,1502.48,1503.64,352374138
1/24/2005,1507.79,1509.83,1480.66,1480.66,368048276
1/25/2005,1492.65,1505.05,1488.6,1490.57,345453448
1/26/2005,1502.05,1513.44,1495.31,1509.01,362943103
1/27/2005,1505.25,1512.74,1497.36,1507.55,363141379
1/28/2005,1510.88,1512.82,1486.76,1499.46,361750000
1/31/2005,1515.16,1523.27,1513.06,1519.63,314448276
2/1/2005,1521,1527.91,1517.3,1523.66,328374138
2/2/2005,1527.29,1531.22,1515.45,1525.1,338887931
2/3/2005,1516.22,1518.13,1501.96,1508.24,338405172
2/4/2005,1507.74,1534.97,1507.69,1534.49,333606897
2/7/2005,1534.48,1538.38,1522.72,1529.05,292837931
2/8/2005,1529.55,1542.41,1527.04,1532.69,335096552
2/9/2005,1534.41,1534.48,1504.6,1506.81,337725862
2/10/2005,1512.71,1514.22,1497.35,1506.83,359568966
2/11/2005,1505.09,1535.54,1498.68,1530.51,373039655
2/14/2005,1531.19,1540.01,1530.16,1538.21,282696552
2/15/2005,1538.38,1561.17,1535.34,1547.3,357170690
2/16/2005,1541.26,1547.69,1535.37,1542.41,321563793
2/17/2005,1543.03,1546.69,1519.22,1519.29,336286207
2/18/2005,1519.21,1524.04,1512.73,1515.4,278303448
2/22/2005,1502.94,1523.51,1493.58,1494.07,354520690
2/23/2005,1502.83,1503.89,1489.99,1497.09,323870690
