Date,Open,High,Low,Close,Volume
8/19/2004,0.8863,0.9069,0.8795,0.8932,78867738
8/20/2004,0.8886,0.9575,0.884,0.9459,130557711
8/23/2004,0.9459,0.9759,0.9459,0.9667,87100845
8/24/2004,0.9804,0.9851,0.9115,0.9299,102276907
8/25/2004,0.9506,0.9759,0.9322,0.969,78532492
8/26/2004,0.9667,0.9782,0.9598,0.9713,66708571
8/27/2004,0.9736,1.0035,0.9713,0.9897,61527128
8/30/2004,0.9897,0.992,0.9575,0.9575,68390215
8/31/2004,0.9621,0.9667,0.9231,0.9529,63947047
9/1/2004,0.9415,0.9851,0.9299,0.9713,64458563
9/2/2004,0.9782,1.0196,0.9667,1.0127,83892246
9/3/2004,1.0127,1.0127,0.9736,0.9804,77850763
9/7/2004,0.9873,1.0081,0.9506,0.9621,79214544
9/8/2004,0.9621,0.9713,0.9415,0.9437,90947274
9/9/2004,0.9667,1.0541,0.9621,1.0379,141475430
9/10/2004,1.0196,1.0816,1.0173,1.0769,113195848
9/13/2004,1.0746,1.1183,1.0746,1.0976,105362153
9/14/2004,1.0885,1.1091,1.0793,1.1022,74420830
9/15/2004,1.0677,1.0724,1.0264,1.0403,126812073
9/16/2004,1.0586,1.0907,1.0541,1.0793,88190086
9/17/2004,1.0885,1.1297,1.0793,1.1251,110042599
9/20/2004,1.1022,1.155,1.0885,1.1229,86515016
9/21/2004,1.139,1.1618,1.1343,1.1527,54861272
9/22/2004,1.132,1.1503,1.093,1.0999,68145065
9/23/2004,1.1114,1.116,1.0793,1.1091,63000634
9/24/2004,1.1137,1.116,1.0586,1.0746,51857371
9/27/2004,1.0677,1.0793,1.0379,1.0563,44276103
9/28/2004,1.0494,1.0816,1.0403,1.0724,51733448
9/29/2004,1.07,1.1275,1.0563,1.0976,58508190
9/30/2004,1.1091,1.1366,1.0885,1.1114,67466851
10/1/2004,1.116,1.1642,1.1114,1.1573,64279634
10/4/2004,1.1711,1.2056,1.1642,1.1894,73397655
10/5/2004,1.1711,1.1918,1.1527,1.1642,68938000
10/6/2004,1.1618,1.1734,1.1343,1.1688,54272894
10/7/2004,1.1894,1.2171,1.1688,1.1757,86888193
10/8/2004,1.1618,1.1665,1.0999,1.1114,75494711
10/11/2004,1.1114,1.1343,1.093,1.1114,40701973
10/12/2004,1.0746,1.1045,1.0563,1.0953,90105578
10/13/2004,1.1297,1.1435,1.0793,1.0885,73268859
10/14/2004,1.0862,1.0999,1.0494,1.0563,54681664
10/15/2004,1.0586,1.0609,1.0011,1.0264,139420418
10/18/2004,1.0219,1.0563,1.0127,1.0449,62575746
10/19/2004,1.07,1.0793,1.0309,1.0379,67356851
10/20/2004,1.0357,1.0563,1.0287,1.0517,58845681
10/21/2004,1.0586,1.0885,1.0541,1.0746,110393608
10/22/2004,1.0839,1.0862,1.0127,1.0173,74863755
10/25/2004,1.0081,1.0426,1.0058,1.0219,58839490
10/26/2004,1.1229,1.1618,1.0839,1.1091,267375042
10/27/2004,1.1022,1.1597,1.0885,1.139,116954689
10/28/2004,1.1251,1.148,1.116,1.1275,61137962
10/29/2004,1.116,1.132,1.0976,1.1067,80900137
11/1/2004,1.1229,1.132,1.1091,1.132,71304499
11/2/2004,1.1251,1.1711,1.1183,1.148,119337501
11/3/2004,1.1918,1.1986,1.1527,1.1573,99128826
11/4/2004,1.1573,1.1942,1.1412,1.1803,117091912
11/5/2004,1.3571,1.4375,1.3343,1.3502,419112406
11/8/2004,1.3365,1.3824,1.3295,1.364,78257700
11/9/2004,1.3433,1.3756,1.3433,1.3571,67062325
11/10/2004,1.3549,1.3687,1.3479,1.3571,70328033
11/11/2004,1.364,1.3824,1.3549,1.3824,55218292
11/12/2004,1.4054,1.4077,1.3709,1.3847,70457330
11/15/2004,1.3709,1.4169,1.364,1.4054,58435770
11/16/2004,1.41,1.4259,1.3756,1.4007,51474111
11/17/2004,1.4191,1.4628,1.41,1.4259,65702608
11/18/2004,1.4375,1.4559,1.4077,1.4444,58051067
11/19/2004,1.5545,1.5706,1.4398,1.4512,231627173
11/22/2004,1.4559,1.4925,1.4421,1.4925,80284230
11/23/2004,1.481,1.5155,1.4673,1.4994,73579359
11/24/2004,1.4971,1.5292,1.4925,1.5039,46699651
11/26/2004,1.5109,1.5338,1.4994,1.5201,38194279
11/29/2004,1.5315,1.543,1.4765,1.4903,76747889
11/30/2004,1.4971,1.4971,1.4559,1.465,62782626
12/1/2004,1.4765,1.5017,1.4673,1.5017,56023323
12/2/2004,1.4855,1.5315,1.4741,1.5201,82714376
12/3/2004,1.5568,1.6073,1.5522,1.5866,146685858
12/6/2004,1.5935,1.6762,1.5659,1.6624,105664728
12/7/2004,1.7589,1.9106,1.7245,1.7452,318729966
12/8/2004,1.7728,1.798,1.752,1.7659,95016642
12/9/2004,1.7314,1.7682,1.7014,1.7498,94715180
12/10/2004,1.7912,1.8026,1.7728,1.7842,71141252
12/13/2004,1.7566,1.7796,1.7268,1.7359,80364302
12/14/2004,1.7359,1.7728,1.7336,1.7706,55877838
12/15/2004,1.7888,1.7912,1.7612,1.7865,47155056
12/16/2004,1.8439,1.9037,1.8072,1.8095,165926461
12/17/2004,1.8372,1.8508,1.7452,1.7659,132971374
12/20/2004,1.7842,1.8141,1.7359,1.7452,97847311
12/21/2004,1.7406,1.7706,1.7038,1.7589,97938070
12/22/2004,1.7957,1.8026,1.7566,1.7612,45945384
12/23/2004,1.7543,1.7865,1.7428,1.7659,39953221
12/27/2004,1.7912,1.798,1.7406,1.7498,33559887
12/28/2004,1.7498,1.7682,1.7336,1.7406,31760286
12/29/2004,1.7336,1.7773,1.7314,1.7566,32087931
12/30/2004,1.752,1.7728,1.7428,1.7498,28285660
12/31/2004,1.7728,1.8118,1.7682,1.8026,62708057
1/3/2005,1.8693,1.8922,1.798,1.8049,116243331
1/4/2005,1.821,1.821,1.6924,1.7199,86033584
1/5/2005,1.7061,1.7566,1.6924,1.7359,78916912
1/6/2005,1.7659,1.7865,1.7061,1.7199,61511499
1/7/2005,1.7268,1.7359,1.6601,1.6854,83079457
1/10/2005,1.6854,1.7061,1.6808,1.69,63215324
1/11/2005,1.6738,1.6831,1.612,1.6372,119402962
1/12/2005,1.6509,1.6578,1.5843,1.6234,115271705
1/13/2005,1.6234,1.6831,1.5912,1.6418,97852266
1/14/2005,1.6647,1.6762,1.6303,1.6464,62491718
1/18/2005,1.6279,1.6762,1.6234,1.6717,50581044
1/19/2005,1.6762,1.6831,1.6279,1.6348,36673744
1/20/2005,1.6004,1.6784,1.6004,1.6372,69707076
1/21/2005,1.6394,1.6738,1.6348,1.6418,64919601
1/24/2005,1.6348,1.6555,1.5659,1.5751,50500656
1/25/2005,1.5843,1.6256,1.5728,1.6028,47871625
1/26/2005,1.6073,1.6464,1.582,1.6234,46721570
1/27/2005,1.6165,1.7612,1.6165,1.7543,109320147
1/28/2005,1.7543,1.7682,1.713,1.752,73116188
1/31/2005,1.7682,1.7865,1.729,1.7543,61310722
2/1/2005,1.7543,1.7957,1.7428,1.7865,55668099
2/2/2005,1.8601,1.9014,1.8049,1.8876,221301924
2/3/2005,1.8876,1.8876,1.8417,1.867,76062499
2/4/2005,1.867,1.9794,1.867,1.9748,87836771
2/7/2005,1.9657,2.0138,1.9336,1.9496,56808780
2/8/2005,1.9336,2,1.9313,1.9703,49633451
2/9/2005,1.9771,1.9818,1.8899,1.9014,85434258
2/10/2005,1.9106,1.9542,1.9037,1.9451,65592175
2/11/2005,1.9336,2.0161,1.9268,2.0023,60702951
2/14/2005,1.9954,2.0093,1.9519,1.9588,47130551
2/15/2005,1.9726,2.0391,1.9703,1.9771,82715028
2/16/2005,1.9771,2,1.9359,1.9703,50780027
2/17/2005,1.9977,1.9977,1.9382,1.9519,126083518
2/18/2005,2.101,2.1653,2.0436,2.1629,341049807
2/22/2005,2.1492,2.241,2.1308,2.1906,154703447
2/23/2005,2.1584,2.1836,2.0848,2.1193,120614039
2/24/2005,2.0964,2.179,2.0918,2.1768,75720049
2/25/2005,2.1699,2.2181,2.156,2.2067,57175900
2/28/2005,2.1975,2.2204,2.1768,2.2181,82568569
3/1/2005,2.2227,2.2663,2.1906,2.2135,80273011
3/2/2005,2.1883,2.202,2.1353,2.1492,103153242
3/3/2005,2.1447,2.156,2.0871,2.1193,82894717
3/4/2005,2.1262,2.1447,2.0918,2.11,64575618
3/7/2005,2.1193,2.1768,2.1055,2.1308,55656712
3/8/2005,2.1262,2.1308,2.0093,2.023,145061562
3/9/2005,2.0093,2.0482,1.9657,1.9703,99016386
3/10/2005,1.9726,1.9954,1.9382,1.9703,74967183
3/11/2005,1.9818,1.9908,1.9083,1.9268,79714377
3/14/2005,1.9612,1.9885,1.9519,1.9794,61884802
3/15/2005,1.9908,2.0093,1.9382,1.9404,41204654
3/16/2005,1.9244,1.9634,1.906,1.9083,58291390
3/17/2005,1.9129,1.9198,1.883,1.8876,48206495
3/18/2005,1.8899,1.8968,1.8164,1.8508,70152867
3/21/2005,1.8372,1.9175,1.8372,1.9129,71297229
3/22/2005,1.9221,1.9336,1.8715,1.8784,68456731
3/23/2005,1.8784,1.9336,1.8739,1.9198,80222996
3/24/2005,1.9313,1.9771,1.9221,1.9244,94287966
3/28/2005,1.929,1.9519,1.883,1.9014,55644030
3/29/2005,1.8922,1.9221,1.8508,1.8601,63919919
3/30/2005,1.8624,1.8876,1.7957,1.8601,93442248
3/31/2005,1.8486,1.8624,1.8095,1.8187,56859739
4/1/2005,1.8372,1.8508,1.7912,1.8002,55649358
4/4/2005,1.8002,1.8002,1.7498,1.7912,45939172
4/5/2005,1.7912,1.8279,1.7474,1.7589,46996113
4/6/2005,1.7888,1.821,1.7796,1.7865,61833631
4/7/2005,1.7888,1.8372,1.7636,1.8187,56143339
4/8/2005,1.8302,1.867,1.7912,1.7957,67669188
4/11/2005,1.8072,1.8141,1.7543,1.7589,35763300
4/12/2005,1.752,1.7842,1.7152,1.782,55797766
4/13/2005,1.7888,1.7888,1.6947,1.7061,54275419
4/14/2005,1.7107,1.7268,1.6878,1.6924,38460283
4/15/2005,1.6717,1.6831,1.6188,1.6348,68611527
4/18/2005,1.6348,1.6601,1.6142,1.6234,51514828
4/19/2005,1.6464,1.6924,1.6418,1.6784,39897611
4/20/2005,1.7083,1.7177,1.6256,1.6279,61759812
4/21/2005,1.6624,1.7245,1.6464,1.7177,58804997
4/22/2005,1.7083,1.7199,1.6831,1.7014,36610605
4/25/2005,1.7177,1.7428,1.7083,1.729,34649424
4/26/2005,1.729,1.7659,1.6854,1.7222,38958580
4/27/2005,1.6831,1.6831,1.6211,1.6555,66378956
4/28/2005,1.6509,1.6831,1.6348,1.6601,40665118
4/29/2005,1.6694,1.69,1.6004,1.6784,52093145
5/2/2005,1.6993,1.7177,1.6464,1.6717,37264609
5/3/2005,1.6738,1.7038,1.6555,1.6624,47872550
5/4/2005,1.6738,1.729,1.6647,1.7152,51060900
