Date,Open,High,Low,Close,Volume
8/19/2004,1095.17,1095.17,1086.39,1091.23,694111111
8/20/2004,1091.23,1100.27,1089.65,1098.35,666611111
8/23/2004,1099.4,1101.17,1094.95,1095.68,567722222
8/24/2004,1095.68,1100.91,1092.84,1096.19,606944444
8/25/2004,1096.16,1106.28,1093.37,1104.96,662333333
8/26/2004,1104.96,1106.78,1102.46,1105.09,568666667
8/27/2004,1105.09,1109.66,1104.64,1107.77,469666667
8/30/2004,1107.77,1107.77,1099.15,1099.15,468388889
8/31/2004,1099.4,1104.24,1094.82,1104.24,632333333
9/1/2004,1103.35,1109.25,1099.31,1105.91,634500000
9/2/2004,1105.91,1119.01,1105.64,1118.31,621333333
9/3/2004,1118.31,1120.47,1113.62,1113.63,513427778
9/7/2004,1115.24,1124.05,1113.63,1121.3,674666667
9/8/2004,1121.3,1123.04,1116.27,1116.27,692388889
9/9/2004,1116.27,1121.26,1113.62,1118.38,761833333
9/10/2004,1118.38,1125.16,1114.5,1123.92,700666667
9/13/2004,1123.91,1129.79,1123.35,1125.82,722111111
9/14/2004,1125.82,1129.35,1124.74,1128.33,669166667
9/15/2004,1128.33,1128.33,1119.75,1120.37,697777778
9/16/2004,1120.37,1126.04,1120.37,1123.5,618833333
9/17/2004,1124.38,1130.44,1123.5,1128.55,790333333
9/20/2004,1128.55,1128.55,1120.3,1122.2,665333333
9/21/2004,1122.2,1131.52,1122.2,1129.3,736111111
9/22/2004,1129.3,1129.3,1112.72,1113.56,766611111
9/23/2004,1113.56,1113.72,1108.04,1108.36,714611111
9/24/2004,1108.49,1113.79,1108.36,1110.11,697444444
9/27/2004,1110.11,1110.11,1103.32,1103.52,701944444
9/28/2004,1103.52,1111.76,1101.67,1110.06,775888889
9/29/2004,1110.06,1114.8,1107.58,1114.8,779388889
9/30/2004,1114.72,1116.19,1109.64,1114.58,971111111
10/1/2004,1114.58,1131.66,1114.58,1131.5,879000000
10/4/2004,1131.5,1139.84,1131.5,1135.17,852222222
10/5/2004,1135.17,1137.82,1132.07,1134.48,788000000
10/6/2004,1134.48,1142.05,1133.82,1142.05,787055556
10/7/2004,1142.05,1142.05,1130.45,1130.65,804166667
10/8/2004,1130.65,1132.87,1120.23,1122.14,717555556
10/11/2004,1122.85,1126.19,1122.14,1124.39,524333333
10/12/2004,1117.55,1124.39,1115.79,1121.84,733388889
10/13/2004,1121.84,1127.02,1109.7,1113.65,859000000
10/14/2004,1113.45,1114.98,1102.08,1103.29,827500000
10/15/2004,1104.91,1113.11,1102.3,1108.2,913944444
10/18/2004,1108.2,1114.39,1103.4,1114.02,762944444
10/19/2004,1114.02,1118.08,1103.16,1103.23,965277778
10/20/2004,1102.55,1104.06,1094.45,1103.66,936500000
10/21/2004,1103.66,1108.84,1098.48,1106.49,929444444
10/22/2004,1106.49,1108.24,1095.45,1095.74,816444444
10/25/2004,1095.74,1096.78,1090.23,1094.8,766944444
10/26/2004,1094.81,1111.1,1094.81,1111.09,936333333
10/27/2004,1111.09,1126.27,1107.55,1125.4,967722222
10/28/2004,1124.63,1130.66,1120.61,1127.44,904555556
10/29/2004,1127.44,1131.26,1124.65,1130.2,833777778
11/1/2004,1130.2,1133.29,1127.63,1130.51,775500000
11/2/2004,1130.51,1140.5,1128.23,1130.58,921666667
11/3/2004,1130.54,1147.57,1130.54,1143.2,981944444
11/4/2004,1143.2,1161.67,1142.39,1161.67,990388889
11/5/2004,1163.02,1170.55,1160.62,1166.17,958000000
11/8/2004,1166.17,1166.68,1162.66,1164.89,754833333
11/9/2004,1164.51,1168.97,1162.49,1164.08,806000000
11/10/2004,1164.08,1169.35,1162.39,1162.91,835722222
11/11/2004,1162.91,1174.82,1162.91,1173.48,773888889
11/12/2004,1174.18,1184.17,1171.39,1184.17,850888889
11/15/2004,1183.81,1184.48,1179.85,1183.81,807388889
11/16/2004,1183.81,1183.81,1175.32,1175.43,758000000
11/17/2004,1176.63,1188.46,1176.63,1181.94,935666667
11/18/2004,1181.78,1184.9,1180.09,1183.55,809277778
11/19/2004,1183.55,1184,1169.17,1170.34,848111111
11/22/2004,1170.21,1178.18,1167.89,1177.24,773722222
11/23/2004,1176.63,1179.52,1171.41,1176.94,793500000
11/24/2004,1178.07,1182.46,1178.07,1181.76,638666667
11/26/2004,1181.08,1186.62,1181.08,1182.65,280322222
11/29/2004,1182.65,1186.94,1172.37,1178.57,765833333
11/30/2004,1178.57,1178.66,1173.81,1173.82,863055556
12/1/2004,1173.83,1191.37,1173.83,1191.37,984888889
12/2/2004,1190.68,1194.81,1186.66,1190.33,986055556
12/3/2004,1191.35,1197.11,1187.7,1191.17,870388889
12/6/2004,1190.84,1192.41,1185.18,1190.25,752444444
12/7/2004,1190.44,1192.17,1177.07,1177.07,852166667
12/8/2004,1177.07,1184.05,1176.8,1182.81,847333333
12/9/2004,1181.18,1190.51,1173.76,1189.24,902611111
12/10/2004,1187.45,1191.45,1185.24,1188,802055556
12/13/2004,1189.87,1198.77,1189.87,1198.68,797833333
12/14/2004,1198.68,1205.29,1197.84,1203.38,858000000
12/15/2004,1203.09,1206.61,1199.44,1205.72,942111111
12/16/2004,1205.3,1207.97,1198.41,1203.21,996611111
12/17/2004,1202.26,1203.17,1193.44,1194.2,1297222222
12/20/2004,1194.2,1203.64,1193.36,1194.65,790444444
12/21/2004,1195.2,1205.93,1194.65,1205.43,824277778
12/22/2004,1205.45,1211.14,1203.81,1209.57,772666667
12/23/2004,1209.16,1213.66,1208.71,1210.13,531166667
12/27/2004,1210.13,1214.17,1204.92,1204.92,512222222
12/28/2004,1205.55,1213.54,1205.55,1213.54,546111111
12/29/2004,1212.11,1213.95,1210.95,1213.45,514388889
12/30/2004,1213.48,1216.47,1213.41,1213.55,461000000
12/31/2004,1213.55,1217.33,1211.65,1211.92,437166667
1/3/2005,1213.43,1217.9,1200.3,1202.08,839333333
1/4/2005,1202.08,1205.78,1185.39,1188.05,956111111
1/5/2005,1187.75,1192.75,1183.72,1183.74,966055556
1/6/2005,1184.41,1191.63,1183.23,1187.89,871722222
1/7/2005,1189.2,1192.2,1182.16,1186.19,821055556
1/10/2005,1186.19,1194.78,1185,1190.25,828000000
1/11/2005,1190.25,1190.25,1180.43,1182.99,827111111
1/12/2005,1182.99,1187.98,1175.64,1187.7,867833333
1/13/2005,1187.64,1187.64,1175.61,1177.45,839055556
1/14/2005,1177.45,1185.21,1177.45,1184.52,741888889
1/18/2005,1183.64,1195.98,1180.1,1195.98,887111111
1/19/2005,1195.51,1195.51,1184.37,1184.63,832611111
1/20/2005,1182.52,1182.52,1173.39,1175.41,940000000
1/21/2005,1175.82,1179.45,1167.82,1167.87,913055556
1/24/2005,1168.59,1173.17,1163.75,1163.75,830333333
1/25/2005,1166.61,1174.3,1166.61,1168.41,894666667
1/26/2005,1168.41,1175.99,1168.41,1174.07,908833333
1/27/2005,1173.55,1177.5,1170.15,1174.55,889222222
1/28/2005,1175.05,1175.63,1166.3,1171.36,912111111
1/31/2005,1174.73,1182.07,1174.73,1181.27,933222222
2/1/2005,1181.26,1190.39,1181.03,1189.41,934433333
2/2/2005,1189.96,1195.25,1189.12,1193.19,867633333
2/3/2005,1193.19,1193.19,1185.63,1189.89,863588889
2/4/2005,1189.83,1203.12,1189.67,1203.03,915644444
2/7/2005,1202.91,1204.09,1199.27,1201.72,748483333
2/8/2005,1201.33,1205.11,1200.24,1202.3,786761111
2/9/2005,1202.66,1203.81,1191.54,1191.99,839466667
2/10/2005,1192.64,1198.75,1191.54,1197.01,828705556
2/11/2005,1196.35,1208.38,1193.28,1205.3,867944444
2/14/2005,1205.3,1206.93,1203.59,1206.14,716766667
2/15/2005,1206.14,1212.33,1205.52,1210.12,848377778
2/16/2005,1208.42,1212.44,1205.17,1210.34,827833333
2/17/2005,1209.96,1211.33,1200.74,1200.75,877844444
2/18/2005,1201.08,1202.92,1197.35,1201.59,861777778
2/22/2005,1198.63,1202.48,1184.16,1184.22,969411111
2/23/2005,1185.48,1193.52,1185.48,1190.8,833938889
2/24/2005,1190.5,1200.42,1187.84,1200.2,843750000
2/25/2005,1199.96,1212.05,1199.61,1211.37,846488889
2/28/2005,1209.1,1210.22,1198.13,1203.6,997488889
3/1/2005,1204.72,1212.19,1204.72,1210.41,948922222
3/2/2005,1209.21,1215.58,1204.22,1210.08,871411111
